schema,natural_language_query,corret_mongo_query,incorrect_mongo_query
"{
  ""collections"": [
    {
      ""name"": ""crowd_density_analysis"",
      ""document"": {
        ""properties"": {
          ""analysis_id"": { ""bsonType"": ""string"" },
          ""camera_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""zone_id"": { ""bsonType"": ""string"" },
          ""people_count"": { ""bsonType"": ""int"" },
          ""density"": { ""bsonType"": ""double"", ""description"": ""People per square meter"" },
          ""hotspots"": {
            ""bsonType"": ""array"",
            ""items"": {
              ""bsonType"": ""object"",
              ""properties"": {
                ""x"": { ""bsonType"": ""int"" },
                ""y"": { ""bsonType"": ""int"" },
                ""radius"": { ""bsonType"": ""int"" },
                ""density"": { ""bsonType"": ""double"" }
              }
            }
          },
          ""flow_vectors"": {
            ""bsonType"": ""array"",
            ""items"": {
              ""bsonType"": ""object"",
              ""properties"": {
                ""start_x"": { ""bsonType"": ""int"" },
                ""start_y"": { ""bsonType"": ""int"" },
                ""end_x"": { ""bsonType"": ""int"" },
                ""end_y"": { ""bsonType"": ""int"" },
                ""magnitude"": { ""bsonType"": ""double"" }
              }
            }
          },
          ""average_speed"": { ""bsonType"": ""double"", ""description"": ""Average speed in m/s"" },
          ""dwell_time"": { ""bsonType"": ""double"", ""description"": ""Average dwell time in seconds"" },
          ""social_distancing_compliance"": { ""bsonType"": ""double"", ""minimum"": 0, ""maximum"": 1 }
        }
      }
    }
  ],
  ""version"": 1
}
","Retrieve the latest five records where average speed is at least 1.5 m/s and social distancing compliance is below 0.5, sorted by timestamp in descending order.","db.crowd_density_analysis.find({ ""average_speed"": { $gte: 1.5 }, ""social_distancing_compliance"": { $lt: 0.5 } }).sort({ ""timestamp"": -1 }).limit(5);","db.crowd_density_analysis.find({ ""average_speed"": 1.5, ""social_distancing_compliance"": { $lt: 0.5 } }).sort({ ""timestamp"": -1 }).limit(5);"
"{
  ""collections"": [
    {
      ""name"": ""person_detections"",
      ""document"": {
        ""properties"": {
          ""detection_id"": {
            ""bsonType"": ""string"",
            ""description"": ""Unique identifier for the detection event""
          },
          ""camera_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""bounding_box"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""x"": { ""bsonType"": ""int"" },
              ""y"": { ""bsonType"": ""int"" },
              ""width"": { ""bsonType"": ""int"" },
              ""height"": { ""bsonType"": ""int"" }
            }
          },
          ""confidence_score"": { ""bsonType"": ""double"", ""description"": ""Detection confidence between 0 and 1"" },
          ""gender"": { ""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""] },
          ""age_group"": { ""bsonType"": ""string"", ""enum"": [""child"", ""teen"", ""adult"", ""senior""] },
          ""clothing"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""top_color"": { ""bsonType"": ""string"" },
              ""bottom_color"": { ""bsonType"": ""string"" }
            }
          },
          ""direction"": { ""bsonType"": ""string"", ""enum"": [""north"", ""south"", ""east"", ""west""] },
          ""speed"": { ""bsonType"": ""double"", ""description"": ""In m/s"" },
          ""facial_attributes"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""has_glasses"": { ""bsonType"": ""bool"" },
              ""has_beard"": { ""bsonType"": ""bool"" }
            }
          }
        }
      }
    }
  ],
  ""version"": 1
}
",Retrieve records of individuals who do not wear glasses and are not moving west.,"db.person_detections.find({ ""facial_attributes.has_glasses"": false, ""direction"": { $ne: ""west"" } });","db.person_detections.find({ ""facial_attributes.has_glasses"": true, ""direction"": { $ne: ""west"" } });"
"{
  ""collections"": [
    {
      ""name"": ""object_left_behind_events"",
      ""document"": {
        ""properties"": {
          ""event_id"": { ""bsonType"": ""string"" },
          ""camera_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""object_type"": { ""bsonType"": ""string"" },
          ""confidence_score"": { ""bsonType"": ""double"", ""minimum"": 0, ""maximum"": 1 },
          ""bounding_box"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""x"": { ""bsonType"": ""int"" },
              ""y"": { ""bsonType"": ""int"" },
              ""width"": { ""bsonType"": ""int"" },
              ""height"": { ""bsonType"": ""int"" }
            }
          },
          ""duration_stationary"": { ""bsonType"": ""int"", ""description"": ""Duration in seconds"" },
          ""color"": { ""bsonType"": ""string"" },
          ""size"": { ""bsonType"": ""string"", ""enum"": [""small"", ""medium"", ""large""] },
          ""associated_person"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""person_id"": { ""bsonType"": ""string"" },
              ""last_seen"": { ""bsonType"": ""date"" }
            }
          },
          ""risk_level"": { ""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5 }
        }
      }
    }
  ],
  ""version"": 1
}
","Select up to five laptop events with a confidence score of at least 0.9, ordered by timestamp.","db.object_left_behind_events.find({ ""object_type"": ""laptop"", ""confidence_score"": { $gte: 0.9 }}).sort({ ""timestamp"": 1 }).limit(5);","db.object_left_behind_events.find({ ""object_type"": ""laptop"", ""confidence_score"": { $lt: 0.9 }}).sort({ ""timestamp"": -1 }).limit(5);"
"{
  ""collections"": [
    {
      ""name"": ""environmental_readings"",
      ""document"": {
        ""properties"": {
          ""reading_id"": { ""bsonType"": ""string"" },
          ""sensor_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""location"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""latitude"": { ""bsonType"": ""double"" },
              ""longitude"": { ""bsonType"": ""double"" },
              ""altitude"": { ""bsonType"": ""double"" }
            }
          },
          ""temperature"": { ""bsonType"": ""double"" },
          ""humidity"": { ""bsonType"": ""double"" },
          ""air_quality"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""pm2_5"": { ""bsonType"": ""double"" },
              ""pm10"": { ""bsonType"": ""double"" },
              ""co2"": { ""bsonType"": ""double"" },
              ""voc"": { ""bsonType"": ""double"" }
            }
          },
          ""noise_level"": { ""bsonType"": ""double"" },
          ""light_intensity"": { ""bsonType"": ""int"" },
          ""radiation_level"": { ""bsonType"": ""double"" },
          ""wind"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""speed"": { ""bsonType"": ""double"" },
              ""direction"": { ""bsonType"": ""int"" }
            }
          },
          ""precipitation"": { ""bsonType"": ""double"" },
          ""barometric_pressure"": { ""bsonType"": ""double"" },
          ""soil_moisture"": { ""bsonType"": ""double"" },
          ""water_quality"": {
            ""bsonType"": ""object"",
            ""
","Retrieve environmental readings for ""reading_001"" or ""reading_002"" where humidity is at least 60%.","db.environmental_readings.find({ ""reading_id"": { $in: [""reading_001"", ""reading_002""] }, ""humidity"": { $gte: 60 } });","db.environmental_readings.find({ ""reading_id"": { $in: [""reading_001"", ""reading_002""] }, ""humidity"": { $lt: 60 } });"
"{
  ""collections"": [
    {
      ""name"": ""facial_recognition_events"",
      ""document"": {
        ""properties"": {
          ""event_id"": { ""bsonType"": ""string"" },
          ""camera_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""person_id"": { ""bsonType"": ""string"" },
          ""confidence_score"": { ""bsonType"": ""double"", ""minimum"": 0, ""maximum"": 1 },
          ""facial_features"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""eye_distance"": { ""bsonType"": ""double"" },
              ""nose_length"": { ""bsonType"": ""double"" },
              ""mouth_width"": { ""bsonType"": ""double"" },
              ""chin_shape"": { ""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5 }
            }
          },
          ""emotion"": { ""bsonType"": ""string"", ""enum"": [""neutral"", ""happy"", ""sad"", ""angry"", ""surprised"", ""fearful""] },
          ""age_estimate"": { ""bsonType"": ""int"" },
          ""gender_probability"": { ""bsonType"": ""double"", ""minimum"": 0, ""maximum"": 1 },
          ""bounding_box"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""x"": { ""bsonType"": ""int"" },
              ""y"": { ""bsonType"": ""int"" },
              ""width"": { ""bsonType"": ""int"" },
              ""height"": { ""bsonType"": ""int"" }
            }
          },
          ""match_details"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""database_id"": { ""bsonType"": ""string"" },
              ""last_seen_timestamp"": { ""bsonType"": ""date"" },
              ""frequency"": { ""bsonType"": ""int"" }
            }
          }
        }
      }
    }
  ],
  ""version"": 1
}
",Select up to 15 facial recognition events where gender probability is at least 0.6 and nose length is less than 5.,"db.facial_recognition_events.find({ ""gender_probability"": { $gte: 0.6 }, ""facial_features.nose_length"": { $lt: 5 } }).limit(15);","db.anomaly_detection_events.find({ ""gender_chance"": { $gte: ""0.6"" }, ""facial_attributes.nose_height"": { $lt: ""5"" } }).limit(15);"
"{
  ""collections"": [
    {
      ""name"": ""intrusion_detection_events"",
      ""document"": {
        ""properties"": {
          ""event_id"": { ""bsonType"": ""string"" },
          ""camera_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""zone_id"": { ""bsonType"": ""string"" },
          ""intrusion_type"": { ""bsonType"": ""string"", ""enum"": [""person"", ""vehicle"", ""animal"", ""drone""] },
          ""confidence_score"": { ""bsonType"": ""double"", ""minimum"": 0, ""maximum"": 1 },
          ""bounding_box"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""x"": { ""bsonType"": ""int"" },
              ""y"": { ""bsonType"": ""int"" },
              ""width"": { ""bsonType"": ""int"" },
              ""height"": { ""bsonType"": ""int"" }
            }
          },
          ""trajectory"": {
            ""bsonType"": ""array"",
            ""items"": {
              ""bsonType"": ""object"",
              ""properties"": {
                ""x"": { ""bsonType"": ""int"" },
                ""y"": { ""bsonType"": ""int"" },
                ""timestamp"": { ""bsonType"": ""date"" }
              }
            }
          },
          ""duration"": { ""bsonType"": ""int"", ""description"": ""Duration in seconds"" },
          ""associated_alarms"": {
            ""bsonType"": ""array"",
            ""items"": { ""bsonType"": ""string"" }
          },
          ""environmental_factors"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""lighting"": { ""bsonType"": ""string"" },
              ""weather"": { ""bsonType"": ""string"" }
            }
          }
        }
      }
    }
  ],
  ""version"": 1
}
",Retrieve up to five events with a confidence score greater than 0.6 where the weather is clear.,"db.intrusion_detection_events.find({ ""confidence_score"": { $gt: 0.6 }, ""environmental_factors.weather"": ""clear"" }).limit(5);","db.intrusion_detection_events.find({ ""confidence_score"": { $gt: 0.6 ""environmental_factors.weather"": ""clear"" } }).limit(5)"
"{
  ""collections"": [
    {
      ""name"": ""cctv_cameras"",
      ""document"": {
        ""properties"": {
          ""camera_id"": {
            ""bsonType"": ""string"",
            ""description"": ""Unique identifier for the camera""
          },
          ""location"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""latitude"": { ""bsonType"": ""double"" },
              ""longitude"": { ""bsonType"": ""double"" },
              ""area_name"": { ""bsonType"": ""string"" }
            }
          },
          ""camera_type"": {
            ""bsonType"": ""string"",
            ""enum"": [""dome"", ""bullet"", ""ptz"", ""covert""]
          },
          ""resolution"": {
            ""bsonType"": ""string"",
            ""enum"": [""720p"", ""1080p"", ""4K""]
          },
          ""frame_rate"": { ""bsonType"": ""int"" },
          ""storage_retention_days"": { ""bsonType"": ""int"" },
          ""night_vision_range"": { ""bsonType"": ""int"", ""description"": ""In meters"" },
          ""installation_date"": { ""bsonType"": ""date"" },
          ""last_maintenance_date"": { ""bsonType"": ""date"" },
          ""ip_address"": { ""bsonType"": ""string"" },
          ""firmware_version"": { ""bsonType"": ""string"" }
        }
      }
    }
  ],
  ""version"": 1
}
","Count and group cameras by resolution, sorting by the count in descending order.","db.cctv_cameras.aggregate([{ $group: { _id: ""$resolution"", count: { $sum: 1 } } }, { $sort: { count: -1 } }])","db.cctv_cameras.aggregate([{ $group: { _id: ""$resolution"", count: { $sum: 1 } } }, { $sort: { count: 1 } }])"
"{
  ""collections"": [
    {
      ""name"": ""person_attributes"",
      ""document"": {
        ""properties"": {
          ""detection_id"": { ""bsonType"": ""string"" },
          ""camera_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""person_id"": { ""bsonType"": ""string"" },
          ""bounding_box"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""x"": { ""bsonType"": ""int"" },
              ""y"": { ""bsonType"": ""int"" },
              ""width"": { ""bsonType"": ""int"" },
              ""height"": { ""bsonType"": ""int"" }
            }
          },
          ""gender"": { 
            ""bsonType"": ""string"", 
            ""enum"": [""male"", ""female"", ""unknown""]
          },
          ""age_group"": { 
            ""bsonType"": ""string"", 
            ""enum"": [""child"", ""teenager"", ""adult"", ""senior""]
          },
          ""height"": { ""bsonType"": ""double"", ""description"": ""Height in cm"" },
          ""build"": { 
            ""bsonType"": ""string"", 
            ""enum"": [""slim"", ""average"", ""athletic"", ""heavy""]
          },
          ""hair"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""color"": { ""bsonType"": ""string"" },
              ""length"": { ""bsonType"": ""string"", ""enum"": [""short"", ""medium"", ""long"", ""bald""] },
              ""style"": { ""bsonType"": ""string"" }
            }
          },
          ""facial_hair"": { 
            ""bsonType"": ""string"", 
            ""enum"": [""none"", ""mustache"", ""beard"", ""goatee""]
          },
          ""clothing"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""upper_body"": {
                ""bsonType"": ""object"",
                ""properties"": {
                  ""type"": { ""bsonType"": ""string"" },
                  ""color"": { ""bsonType"": ""string"" },
                  ""sleeve_length"": { ""bsonType"": ""string"", ""enum"": [""short"", ""long""] }
                }
              },
              ""lower_body"": {
                ""bsonType"": ""object"",
                ""properties"": {
                  ""type"": { ""bsonType"": ""string"" },
                  ""color"": { ""bsonType"": ""string"" },
                  ""length"": { ""bsonType"": ""string"", ""enum"": [""short"", ""long""] }
                }
              },
              ""footwear"": {
                ""bsonType"": ""object"",
                ""properties"": {
                  ""type"": { ""bsonType"": ""string"" },
                  ""color"": { ""bsonType"": ""string"" }
                }
              }
            }
          },
          ""accessories"": {
            ""bsonType"": ""array"",
            ""items"": {
              ""bsonType"": ""object"",
              ""properties"": {
                ""type"": { ""bsonType"": ""string"", ""enum"": [""glasses"", ""hat"", ""backpack"", ""handbag""] },
                ""color"": { ""bsonType"": ""string"" }
              }
            }
          },
          ""confidence_scores"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""gender"": { ""bsonType"": ""double"" },
              ""age_group"": { ""bsonType"": ""double"" },
              ""build"": { ""bsonType"": ""double"" }
            }
          }
        }
      }
    }
  ],
  ""version"": 1
}
",Retrieve records of adult females taller than 160 centimeters.,"db.person_attributes.find({ ""gender"": ""female"", ""age_group"": ""adult"", ""height"": { $gt: 160 } });","db.person_attributes.find({ 
  $or: [
    { ""gender"": { $regex: ""^female$"" } }, 
    { ""age_group"": ""adult"" },
    { ""gender"": ""female"", ""age_group"": { $ne: ""child"" } } 
  ],
  ""height"": { $gt: 160 } 
});"
"{
  ""collections"": [
    {
      ""name"": ""crowd_density"",
      ""document"": {
        ""properties"": {
          ""analysis_id"": { ""bsonType"": ""string"" },
          ""camera_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""total_people_count"": { ""bsonType"": ""int"" },
          ""density_per_square_meter"": { ""bsonType"": ""double"" },
          ""hotspots"": {
            ""bsonType"": ""array"",
            ""items"": {
              ""bsonType"": ""object"",
              ""properties"": {
                ""x"": { ""bsonType"": ""int"" },
                ""y"": { ""bsonType"": ""int"" },
                ""radius"": { ""bsonType"": ""int"" },
                ""density"": { ""bsonType"": ""double"" }
              }
            }
          },
          ""flow_vectors"": {
            ""bsonType"": ""array"",
            ""items"": {
              ""bsonType"": ""object"",
              ""properties"": {
                ""start_x"": { ""bsonType"": ""int"" },
                ""start_y"": { ""bsonType"": ""int"" },
                ""end_x"": { ""bsonType"": ""int"" },
                ""end_y"": { ""bsonType"": ""int"" },
                ""magnitude"": { ""bsonType"": ""double"" }
              }
            }
          },
          ""age_distribution"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""children"": { ""bsonType"": ""double"" },
              ""adults"": { ""bsonType"": ""double"" },
              ""seniors"": { ""bsonType"": ""double"" }
            }
          },
          ""gender_ratio"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""male"": { ""bsonType"": ""double"" },
              ""female"": { ""bsonType"": ""double"" }
            }
          },
          ""social_distancing_compliance"": { ""bsonType"": ""double"", ""minimum"": 0, ""maximum"": 1 },
          ""mask_wearing_compliance"": { ""bsonType"": ""double"", ""minimum"": 0, ""maximum"": 1 }
        }
      }
    }
  ],
  ""version"": 1
}
",Retrieve records where the percentage of children is less than 20% and the percentage of seniors is greater than 15%.,"db.crowd_density.find({ ""age_distribution.children"": { $lt: 0.2 }, ""age_distribution.seniors"": { $gt: 0.15 } });","db.crowd_density.find({ $or: [ { ""age_distribution.children"": { $gt: 0.2 } }, { ""age_distribution.seniors"": { $lt: 0.15 } } ] });"
"{
  ""collections"": [
    {
      ""name"": ""facial_recognition_events"",
      ""document"": {
        ""properties"": {
          ""event_id"": { ""bsonType"": ""string"" },
          ""camera_id"": { ""bsonType"": ""string"" },
          ""timestamp"": { ""bsonType"": ""date"" },
          ""person_id"": { ""bsonType"": ""string"" },
          ""confidence_score"": { ""bsonType"": ""double"", ""minimum"": 0, ""maximum"": 1 },
          ""bounding_box"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""x"": { ""bsonType"": ""int"" },
              ""y"": { ""bsonType"": ""int"" },
              ""width"": { ""bsonType"": ""int"" },
              ""height"": { ""bsonType"": ""int"" }
            }
          },
          ""facial_landmarks"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""left_eye"": { ""bsonType"": ""array"", ""items"": { ""bsonType"": ""int"" } },
              ""right_eye"": { ""bsonType"": ""array"", ""items"": { ""bsonType"": ""int"" } },
              ""nose"": { ""bsonType"": ""array"", ""items"": { ""bsonType"": ""int"" } },
              ""mouth_left"": { ""bsonType"": ""array"", ""items"": { ""bsonType"": ""int"" } },
              ""mouth_right"": { ""bsonType"": ""array"", ""items"": { ""bsonType"": ""int"" } }
            }
          },
          ""attributes"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""age"": { ""bsonType"": ""int"" },
              ""gender"": { ""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""unknown""] },
              ""emotion"": { ""bsonType"": ""string"" }
            }
          },
          ""match_details"": {
            ""bsonType"": ""object"",
            ""properties"": {
              ""matched_person_id"": { ""bsonType"": ""string"" },
              ""match_confidence"": { ""bsonType"": ""double"" },
              ""database_name"": { ""bsonType"": ""string"" }
            }
          }
        }
      }
    }
  ],
  ""version"": 1
}
","Retrieve the ten most recent facial recognition events with a confidence score above 0.8, showing their event IDs, timestamps, and bounding box coordinates, sorted by date.","db.facial_recognition_events.find({confidence_score: {$gt: 0.8}}, {event_id: 1, timestamp: 1, bounding_box: 1}).sort({timestamp: -1}).limit(10)","db.facial_recognition_events.find({}, {event_id: 1, bounding_box: 1}).sort({timestamp: -1}).limit(10)"
