schema,mongo_query,natural_language_query
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""timestamp"": {""$gte"": 1700000000, ""$lte"": 1701000000}})'''",Find all events between 1700000000 and 1701000000.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({
    ""person_details.age"": {""$gte"": 18, ""$lte"": 30},
    ""severity_level"": 2
})'''",Find all persons aged between 18 and 30 involved in incidents with severity level 2.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.temperature"": {""$lt"": 10}, ""incident_type"": ""accident""})'''",Retrieve events where the temperature is below 10 degrees Celsius and the incident type is 'accident'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""location.latitude"": 34.0522, ""location.longitude"": -118.2437})'''",Find all events at the location with latitude 34.0522 and longitude -118.2437.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""vehicle_details.license_plate_number"": {""$regex"": ""^MH12""}})'''",Find vehicles with license plates starting with 'MH12'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""timestamp"": {""$gte"": 1700500000}, ""vehicle_details.vehicle_type"": ""car""})'''",Retrieve all events occurring after timestamp 1700500000 involving a vehicle of type 'car'.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""sensor_readings.speed"": {""$gt"": 100}})'''",Find all incidents where vehicle speed exceeded 100 km/h.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""severity_level"": 3})'''",Find all high-severity events.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""camera_id"": {""$gte"": 10, ""$lte"": 20}})'''",Find all events captured by cameras with IDs between 10 and 20.
"{""collections"": [{""name"": ""events"", ""document"": {""properties"": {""event_id"": {""bsonType"": ""int"", ""description"": ""Unique event identifier""}, ""timestamp"": {""bsonType"": ""int"", ""description"": ""Event occurrence time in epoch format""}, ""severity_level"": {""bsonType"": ""int"", ""description"": ""Severity level of the event (1 = Low, 2 = Medium, 3 = High)""}, ""camera_id"": {""bsonType"": ""int"", ""description"": ""Camera capturing the event""}, ""vehicle_details"": {""bsonType"": ""object"", ""properties"": {""license_plate_number"": {""bsonType"": ""string"", ""description"": ""License plate of the vehicle""}, ""vehicle_type"": {""bsonType"": ""string"", ""description"": ""Type of the vehicle (e.g., car, bike, truck)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}}}, ""person_details"": {""bsonType"": ""object"", ""properties"": {""match_id"": {""bsonType"": ""int"", ""description"": ""Unique person identifier""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""gender"": {""bsonType"": ""string"", ""description"": ""Gender of the person (Male, Female)""}, ""clothing_description"": {""bsonType"": ""string"", ""description"": ""Description of the clothing worn by the person""}}}, ""location"": {""bsonType"": ""object"", ""properties"": {""latitude"": {""bsonType"": ""double"", ""description"": ""Latitude of the event location""}, ""longitude"": {""bsonType"": ""double"", ""description"": ""Longitude of the event location""}}}, ""sensor_readings"": {""bsonType"": ""object"", ""properties"": {""temperature"": {""bsonType"": ""double"", ""description"": ""Temperature reading at the time of the event""}, ""speed"": {""bsonType"": ""double"", ""description"": ""Speed of the vehicle involved in the event""}, ""distance"": {""bsonType"": ""double"", ""description"": ""Distance measurement relevant to the event""}}}, ""incident_type"": {""bsonType"": ""string"", ""description"": ""Type of incident (e.g., accident, speeding, unauthorized access)""}}}}], ""version"": 1}","'''db.events.find({""severity_level"": 3, ""camera_id"": {""$in"": [5, 6]}})'''",Get all events with severity level 3 that were recorded by camera ID 5 or 6.
