schema,mongo_query,natural_language_query,additional_info
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}",db.traffic_incident_reports.find({ 'vehicles_involved.color': 'blue' }),Show incidents involving a blue vehicle.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}",db.traffic_incident_reports.find({}).sort({severity_level: -1}).limit(5),List top 5 incidents sorted by severity.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}",db.traffic_incident_reports.find({ severity_level: { $gt: 3 } }),Find traffic incidents with severity level greater than 3.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}",db.traffic_incident_reports.find({timestamp: {$gte: ISODate('2023-12-12T22:00:00Z')}}),"Get incidents that occurred after 10 PM on December 12, 2023.",after 2023-12-12T22:00:00Z
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({""vehicles_involved.condition"": ""damaged""})",Find all incidents where a vehicle was listed as damaged.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({weather_conditions: 'snowy'}, {description: 1})",Get descriptions of all incidents reported in snowy weather.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({ 'persons_involved.appearance': { $regex: 'red jacket', $options: 'i' } })",Show reports involving persons described as wearing a red jacket.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({timestamp: {$gte: ISODate('2024-03-05T00:00:00Z'), $lt: ISODate('2024-03-06T00:00:00Z')}})","List reports from March 5, 2024.",current time is '2024-03-05T12:00:00Z'
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({ 'persons_involved.age': { $gte: 20, $lte: 30 } })",Find reports of incidents with persons aged between 20 and 30.,na
"{""collections"": [{""name"": ""traffic_incident_reports"", ""document"": {""properties"": {""report_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the report""}, ""timestamp"": {""bsonType"": ""date"", ""description"": ""Date and time of the report""}, ""location"": {""bsonType"": ""string"", ""description"": ""Description of the incident location""}, ""severity_level"": {""bsonType"": ""int"", ""minimum"": 1, ""maximum"": 5, ""description"": ""Severity level of the incident (1-5)""}, ""description"": {""bsonType"": ""string"", ""description"": ""Detailed description of the incident""}, ""vehicles_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""vehicle_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the vehicle""}, ""make"": {""bsonType"": ""string"", ""description"": ""Make of the vehicle (e.g., Toyota)""}, ""model"": {""bsonType"": ""string"", ""description"": ""Model of the vehicle (e.g., Camry)""}, ""color"": {""bsonType"": ""string"", ""description"": ""Color of the vehicle""}, ""condition"": {""bsonType"": ""string"", ""enum"": [""new"", ""used"", ""damaged""], ""description"": ""Condition of the vehicle""}}}, ""description"": ""List of vehicles involved in the incident""}, ""persons_involved"": {""bsonType"": ""array"", ""items"": {""bsonType"": ""object"", ""properties"": {""person_id"": {""bsonType"": ""string"", ""description"": ""Unique identifier for the person""}, ""gender"": {""bsonType"": ""string"", ""enum"": [""male"", ""female"", ""other""], ""description"": ""Gender of the person""}, ""age"": {""bsonType"": ""int"", ""description"": ""Age of the person""}, ""appearance"": {""bsonType"": ""string"", ""description"": ""Description of the person's appearance""}}}, ""description"": ""List of persons involved in the incident""}, ""weather_conditions"": {""bsonType"": ""string"", ""enum"": [""clear"", ""rainy"", ""foggy"", ""snowy""], ""description"": ""Weather conditions at the time of the incident""}, ""additional_notes"": {""bsonType"": ""string"", ""description"": ""Any additional notes or comments about the incident""}}}}], ""version"": 1}","db.traffic_incident_reports.find({timestamp: {$gte: ISODate('2024-03-06T00:00:00Z'), $lt: ISODate('2024-03-07T00:00:00Z')}})",List incidents reported today along with weather conditions.,current time is '2024-03-06T12:00:00Z'
